repo_name,status,classification,openrank_2505,stars,forks,language,created_at,description,repo_id,,,,,,,,,,,,,,,,,,
langchain-ai/langchain,,Agent Framework - SDK,148,109649,17839,Jupyter Notebook,2022-10-17,🦜🔗 Build context-aware reasoning applications,552661142,,,,,,,,,,,,,,,,,,langchain-ai/langchain
run-llama/llama_index,,Agent Framework - SDK,117,42421,6082,Python,2022-11-02,LlamaIndex is the leading framework for building LLM-powered agents over your data.,560704231,,,,,,,,,,,,,,,,,,run-llama/llama_index
microsoft/semantic-kernel,,Agent Framework - SDK,106,25066,3966,C#,2023-02-27,Integrate cutting-edge LLM technology quickly and easily into your apps,607289185,,,,,,,,,,,,,,,,,,microsoft/semantic-kernel
microsoft/autogen,,Agent Framework - SDK,98,46112,6995,Python,2023-08-18,A programming framework for agentic AI 🤖 PyPi: autogen-agentchat Discord: https://aka.ms/autogen-discord Office Hour: https://aka.ms/autogen-officehour,680120071,,,,,,,,,,,,,,,,,,microsoft/autogen
google/adk-python,,Agent Framework - SDK,96,10196,1269,Python,2025-04-01,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",958830659,,,,,,,,,,,,,,,,,,google/adk-python
langchain-ai/langgraph,,Agent Framework - SDK,90,14343,2433,Python,2023-08-09,Build resilient language agents as graphs.,676672661,,,,,,,,,,,,,,,,,,langchain-ai/langgraph
crewAIInc/crewAI,,Agent Framework - SDK,75,33053,4435,Python,2023-10-27,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",710601088,,,,,,,,,,,,,,,,,,crewAIInc/crewAI
openai/openai-agents-python,,Agent Framework - SDK,69,11535,1692,Python,2025-03-11,"A lightweight, powerful framework for multi-agent workflows",946380199,,,,,,,,,,,,,,,,,,openai/openai-agents-python
camel-ai/camel,,Agent Framework - SDK,67,12948,1389,Python,2023-03-17,🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org,615510678,,,,,,,,,,,,,,,,,,camel-ai/camel
microsoft/graphrag,x,Agent Framework - SDK,40,25886,2661,Python,2024-03-27,A modular graph-based Retrieval-Augmented Generation (RAG) system,778431525,,,,,,,,,,,,,,,,,,microsoft/graphrag
mem0ai/mem0,,Agent Framework - SDK,39,34735,3461,Python,2023-06-20,Memory for AI Agents; Announcing OpenMemory MCP - local and secure memory management.,656099147,,,,,,,,,,,,,,,,,,mem0ai/mem0
letta-ai/letta,x,Agent Framework - SDK,26,16901,1759,Python,2023-10-11,"Letta (formerly MemGPT) is the stateful agents framework with memory, reasoning, and context management.",703411624,,,,,,,,,,,,,,,,,,letta-ai/letta
FoundationAgents/MetaGPT,x,Agent Framework - SDK,15,56480,6771,Python,2023-06-30,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",660551251,,,,,,,,,,,,,,,,,,FoundationAgents/MetaGPT
langgenius/dify,,Agent Framework - Workflow,476,103653,15580,TypeScript,2023-04-12,Production-ready platform for agentic workflow development.,626805178,,,,,,,,,,,,,,,,,,langgenius/dify
n8n-io/n8n,,Agent Framework - Workflow,225,108494,31097,TypeScript,2019-06-22,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",193215554,,,,,,,,,,,,,,,,,,n8n-io/n8n
infiniflow/ragflow,,Agent Framework - Workflow,209,56471,5550,Python,2023-12-12,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,730534580,,,,,,,,,,,,,,,,,,infiniflow/ragflow
labring/FastGPT,,Agent Framework - Workflow,87,24772,6379,TypeScript,2023-02-23,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.",605673387,,,,,,,,,,,,,,,,,,labring/FastGPT
1Panel-dev/MaxKB,,Agent Framework - Workflow,73,16855,2175,Python,2023-09-14,"💬 MaxKB is an open-source AI assistant for enterprise. It seamlessly integrates RAG pipelines, supports robust workflows, and provides MCP tool-use capabilities.",691347156,,,,,,,,,,,,,,,,,,1Panel-dev/MaxKB
FlowiseAI/Flowise,,Agent Framework - Workflow,52,40241,20633,TypeScript,2023-03-31,"Build AI Agents, Visually",621803253,,,,,,,,,,,,,,,,,,FlowiseAI/Flowise
Significant-Gravitas/AutoGPT,x,Agent Framework - Workflow,47,176235,45820,Python,2023-03-16,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",614765452,,,,,,,,,,,,,,,,,,Significant-Gravitas/AutoGPT
eosphoros-ai/DB-GPT,x,Agent Framework - Workflow,38,16790,2308,Python,2023-04-13,AI Native Data App Development framework with AWEL(Agentic Workflow Expression Language) and Agents,627480054,,,,,,,,,,,,,,,,,,eosphoros-ai/DB-GPT
deepset-ai/haystack,x,Agent Framework - Workflow,33,21185,2222,Python,2019-11-14,"AI orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots.",221654678,,,,,,,,,,,,,,,,,,deepset-ai/haystack
chatchat-space/Langchain-Chatchat,x,Agent Framework - Workflow,15,35316,5916,TypeScript,2023-03-31,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain",621799276,,,,,,,,,,,,,,,,,,chatchat-space/Langchain-Chatchat
triton-lang/triton,,AI Compiler,115,15878,2049,MLIR,2014-08-30,Development repository for the Triton language and compiler,23496542,,,,,,,,,,,,,,,,,,triton-lang/triton
openxla/xla,x,AI Compiler,66,3275,576,C++,2022-08-09,"A machine learning compiler for GPUs, CPUs, and ML accelerators",523007292,,,,,,,,,,,,,,,,,,openxla/xla
NVIDIA/cutlass,,AI Kernel Library,36,7707,1273,C++,2017-11-30,CUDA Templates for Linear Algebra Subroutines,112542515,,,,,,,,,,,,,,,,,,NVIDIA/cutlass
ml-explore/mlx,,AI Kernel Library,34,21101,1233,C++,2023-11-28,MLX: An array framework for Apple silicon,724854743,,,,,,,,,,,,,,,,,,ml-explore/mlx
flashinfer-ai/flashinfer,,AI Kernel Library,31,3190,337,Cuda,2023-07-22,FlashInfer: Kernel Library for LLM Serving,669331976,,,,,,,,,,,,,,,,,,flashinfer-ai/flashinfer
