repo_name,status,classification,openrank_07,stars,trend,language,created_at,description,topics,repo_id,forks,,notes,,,,,,,,,,,,,repo_name
langchain-ai/langgraph,-,Agent Framework,101,16775,"[96, 91, 79, 84, 98, 95, 101]",Python,2023-08-09,Build resilient language agents as graphs.,,676672661,2870,,,,,,,,,,,,,,,langchain-ai/langgraph
pydantic/pydantic-ai,new,Agent Framework,97,11416,"[84, 85, 94, 113, 114, 104, 97]",Python,2024-06-21,Agent Framework / shim to use Pydantic with LLMs,"agent-framework,llms,pydantic,python",818331198,1093,,,,,,,,,,,,,,,pydantic/pydantic-ai
langchain-ai/langchain,-,Agent Framework,95,112864,"[186, 170, 143, 137, 103, 91, 95]",Jupyter Notebook,2022-10-17,🦜🔗 Build context-aware reasoning applications,"ai,anthropic,gemini,langchain,llm,openai,python",552661142,18447,,,,,,,,,,,,,,,langchain-ai/langchain
livekit/agents,new,Agent Framework,91,6961,"[57, 64, 81, 98, 105, 96, 91]",Python,2023-10-19,A powerful framework for building realtime voice AI agents 🤖🎙️📹,"agents,ai,openai,real-time,video,voice",707441527,1128,,Voice,,,,,,,,,,,,,livekit/agents
spring-projects/spring-ai,new,Agent Framework,87,6329,"[61, 64, 69, 103, 122, 98, 87]",Java,2023-06-27,An Application Framework for AI Engineering,"artificial-intelligence,java,spring-ai",659402878,1759,,,,,,,,,,,,,,,spring-projects/spring-ai
run-llama/llama_index,-,Agent Framework,86,43500,"[135, 121, 114, 110, 105, 103, 86]",Python,2022-11-02,LlamaIndex is the leading framework for building LLM-powered agents over your data.,"agents,application,data,fine-tuning,framework,llamaindex,llm,multi-agents,rag,vector-database",560704231,6253,,,,,,,,,,,,,,,run-llama/llama_index
microsoft/semantic-kernel,-,Agent Framework,77,25655,"[91, 98, 105, 116, 119, 102, 77]",C#,2023-02-27,Integrate cutting-edge LLM technology quickly and easily into your apps,"ai,artificial-intelligence,llm,openai,sdk",607289185,4100,,,,,,,,,,,,,,,microsoft/semantic-kernel
pipecat-ai/pipecat,new,Agent Framework,64,7359,"[53, 59, 55, 70, 76, 64, 64]",Python,2023-12-27,Open Source framework for voice and multimodal conversational AI,"ai,chatbot-framework,chatbots,real-time,voice,voice-assistant",736272311,1139,,Voice,,,,,,,,,,,,,pipecat-ai/pipecat
microsoft/autogen,-,Agent Framework,52,48256,"[100, 116, 103, 91, 82, 64, 52]",Python,2023-08-18,A programming framework for agentic AI 🤖 PyPi: autogen-agentchat Discord: https://aka.ms/autogen-discord Office Hour: https://aka.ms/autogen-officehour,"agentic,agentic-agi,agents,ai,autogen,autogen-ecosystem,chatgpt,framework,llm-agent,llm-framework",680120071,7369,,,,,,,,,,,,,,,microsoft/autogen
BerriAI/litellm,-,Agent Tool,251,26829,"[193, 230, 254, 274, 287, 267, 251]",Python,2023-07-27,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, Replicate, Groq]","ai-gateway,anthropic,azure-openai,bedrock,gateway,langchain,litellm,llm,llm-gateway,llmops,mcp-gateway,openai,openai-proxy,vertex-ai",671269505,3717,,,,,,,,,,,,,,,BerriAI/litellm
supabase/supabase,new,Agent Tool,178,86533,"[187, 195, 187, 188, 191, 179, 178]",TypeScript,2019-10-12,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.","ai,alternative,auth,database,deno,embeddings,example,firebase,nextjs,oauth2,pgvector,postgis,postgres,postgresql,postgrest,realtime,supabase,vectors,websockets",214587193,9388,,,,,,,,,,,,,,,supabase/supabase
vercel/ai,-,Agent Tool,145,16320,"[92, 112, 117, 133, 123, 114, 145]",TypeScript,2023-05-23,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents","anthropic,artificial-intelligence,gemini,generative-ai,generative-ui,javascript,language-model,llm,nextjs,openai,react,svelte,typescript,vercel,vue",644461337,2675,,,,,,,,,,,,,,,vercel/ai
comfyanonymous/ComfyUI,-,Agent Tool,115,84372,"[153, 149, 144, 162, 161, 127, 115]",Python,2023-01-17,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.","ai,python,pytorch,stable-diffusion",589831718,9354,,,,,,,,,,,,,,,comfyanonymous/ComfyUI
google/adk-python,-,Agent Tool,109,11477,"[73, 119, 118, 109]",Python,2025-04-01,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.","agent,agentic,agentic-ai,agents,agents-sdk,ai,ai-agents,aiagentframework,genai,genai-chatbot,llm,llms,multi-agent,multi-agent-systems,multi-agents,multi-agents-collaboration",958830659,1576,,,,,,,,,,,,,,,google/adk-python
browser-use/browser-use,-,Agent Tool,97,66952,"[64, 95, 111, 115, 113, 96, 97]",Python,2024-10-31,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,"ai-agents,ai-tools,browser-automation,browser-use,llm,playwright,python",881458615,7724,,,,,,,,,,,,,,,browser-use/browser-use
modelcontextprotocol/servers,-,Agent Tool,66,62815,"[51, 38, 88, 114, 107, 81, 66]",TypeScript,2024-11-19,Model Context Protocol Servers,,890668799,7304,,,,,,,,,,,,,,,modelcontextprotocol/servers
mem0ai/mem0,-,Agent Tool,54,37771,"[31, 31, 35, 39, 60, 55, 54]",Python,2023-06-20,Universal memory layer for AI Agents; Announcing OpenMemory MCP - local and secure memory management.,"agent,ai,aiagent,application,chatbots,chatgpt,embeddings,llm,long-term-memory,memory,memory-management,python,rag,state-management,vector-database",656099147,3915,,,,,,,,,,,,,,,mem0ai/mem0
langgenius/dify,-,Agent Workflow Platform,379,109674,"[355, 416, 561, 560, 489, 418, 379]",TypeScript,2023-04-12,Production-ready platform for agentic workflow development.,"agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,gemini,genai,gpt,gpt-4,llm,low-code,mcp,nextjs,no-code,openai,orchestration,python,rag,workflow",626805178,16702,,,,,,,,,,,,,,,langgenius/dify
n8n-io/n8n,-,Agent Workflow Platform,281,126659,"[159, 197, 233, 262, 274, 280, 281]",TypeScript,2019-06-22,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.","ai,apis,automation,cli,data-flow,development,integration-framework,integrations,ipaas,low-code,low-code-platform,mcp,mcp-client,mcp-server,n8n,no-code,self-hosted,typescript,workflow,workflow-automation",193215554,38752,,,,,,,,,,,,,,,n8n-io/n8n
infiniflow/ragflow,-,Agent Workflow Platform,161,61640,"[133, 190, 260, 247, 216, 184, 161]",Python,2023-12-12,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,"agent,agentic,agentic-ai,agentic-workflow,ai,ai-search,deep-learning,deep-research,deepseek,deepseek-r1,document-parser,document-understanding,graphrag,llm,mcp,multi-agent,ollama,openai,rag,retrieval-augmented-generation",730534580,6253,,,,,,,,,,,,,,,infiniflow/ragflow
